Unnamed: 0,num_caso,edad_credit,retrasos_max,comp_interno1,Otorgar,woe_num_caso,woe_edad_credit,woe_retrasos_max,woe_comp_interno1
48824,97564,2.0,0.0,0.0,1.0,2.194536928692134,-6.067280464720442,0.9797405895179709,0.058246421411260574
2704,5448,5.0,0.0,0.0,1.0,-0.37477782310952135,-2.0598720886909025,0.9797405895179709,0.058246421411260574
25631,50932,34.0,1.0,0.0,1.0,-0.37477782310952135,-6.067280464720442,-0.5589118143374256,0.058246421411260574
7285,14569,51.0,1.0,354.6099290780142,1.0,-0.37477782310952135,-6.067280464720442,-0.5589118143374256,0.058246421411260574
27346,54236,31.0,1.0,506.5856129685917,1.0,-0.37477782310952135,-6.067280464720442,-0.5589118143374256,0.058246421411260574
40815,81093,12.0,0.0,0.0,1.0,-1.925723440470128,2.5185816411112585,0.9797405895179709,0.058246421411260574
22137,44046,37.0,1.0,2026.3424518743668,1.0,-0.37477782310952135,-6.067280464720442,-0.5589118143374256,0.46290754060618555
25070,49853,3.0,0.0,0.0,1.0,-0.37477782310952135,-2.0598720886909025,0.9797405895179709,0.058246421411260574
15687,31432,46.0,1.0,0.0,1.0,-0.37477782310952135,-6.067280464720442,-0.5589118143374256,0.058246421411260574
14780,29566,47.0,1.0,0.0,1.0,-0.37477782310952135,-6.067280464720442,-0.5589118143374256,0.058246421411260574
29571,58687,15.0,1.0,20263.424518743668,1.0,-0.5101014642557478,0.5691545598349159,-0.5589118143374256,-4.222405701947002
42308,84072,10.0,0.0,0.0,1.0,-1.925723440470128,-0.07779259348795886,0.9797405895179709,0.058246421411260574
44083,87621,8.0,0.0,0.0,1.0,-0.7329563736282698,-2.0598720886909025,0.9797405895179709,0.058246421411260574
27287,54127,31.0,1.0,0.0,1.0,-0.37477782310952135,-6.067280464720442,-0.5589118143374256,0.058246421411260574
41101,81670,11.0,1.0,0.0,1.0,-1.925723440470128,-0.07779259348795886,-0.5589118143374256,0.058246421411260574
10361,20719,52.0,1.0,0.0,1.0,-0.37477782310952135,-6.067280464720442,-0.5589118143374256,0.058246421411260574
